iter	RMSE
349	971.0899072
350	968.4303203
351	963.1185611
352	958.643935
353	954.0888016
354	949.5950808
355	946.700107
356	942.9481061
357	941.3960959
358	933.4517097
359	929.8427199
360	929.245719
361	928.2409889
362	926.0966812
363	922.1401451
364	919.4289518
365	916.8931118
366	914.6321913
367	909.4685385
368	903.608079
369	898.7461383
370	895.5954239
371	891.2969726
372	889.2187178
373	886.9019026
374	884.4741246
375	879.9128137
376	876.8319688
377	873.4868163
378	870.0681204
379	866.9125504
380	860.7652264
381	856.422841
382	852.5760111
383	850.0409275
384	846.1281962
385	844.5274606
386	842.3029672
387	837.2781449
388	835.8481563
389	833.4561975
390	830.3998848
391	827.9445218
392	823.6779317
393	819.3858772
394	816.3114359
395	812.5700535
396	811.0703229
397	808.7017399
398	802.4236756
399	800.1642142
400	796.9117505
401	794.0634933
402	788.46978
403	782.9595245
404	779.6317208
405	777.6867227
406	774.3056605
407	772.8352975
408	771.1959553
409	766.8429929
410	762.7828698
411	758.5296652
412	757.0999744
413	754.1232082
414	751.549193
415	750.5871824
416	746.2751033
417	741.4919882
418	737.5432411
419	733.6938079
420	730.3855812
421	726.6178936
422	725.1520481
423	724.245232
424	721.5053259
425	718.4528247
426	715.3080467
427	710.6751803
428	707.3872054
429	704.5723095
430	703.6042542
431	700.6249033
432	698.953664
433	697.2461667
434	694.8544225
435	692.180885
436	690.8243891
437	688.2716481
438	685.2416974
439	681.9032433
440	678.7605449
441	677.8394968
442	675.3029357
443	673.6446657
444	668.7600818
445	667.438828
446	664.5344183
447	661.6442547
448	658.0419106
449	655.1447357
450	654.735164
451	654.136585
452	651.2720746
453	648.5384042
454	647.8030979
455	645.1523663
456	641.2586012
457	638.5545123
458	636.4579358
459	633.2115664
460	632.4017581
461	629.141996
462	625.9443637
463	624.0599261
464	620.584259
465	617.7100874
466	615.9720031
467	613.5283047
468	612.1333138
469	609.2540854
470	607.1950806
471	605.9496663
472	602.5716216
473	597.6195306
474	594.6874631
475	593.4377259
476	591.2533444
477	587.2473307
478	585.7689043
479	584.9774349
480	581.2793552
481	580.4574047
482	576.9562736
483	576.3893422
484	576.0906859
485	575.2278611
486	573.7595849
487	571.3296987
488	568.5975386
489	567.99924
490	565.6058708
491	564.9080746
492	559.599752
493	559.3369116
494	557.1708177
495	556.937135
496	554.9978077
497	553.0159345
498	552.3329803
499	550.8333671
